00:00:00.000	-0.085	-0.115
00:00:00.002	-0.080	-0.115
00:00:00.004	-0.070	-0.120
00:00:00.006	-0.075	-0.120
00:00:00.008	-0.095	-0.120
00:00:00.010	-0.090	-0.120
00:00:00.012	-0.100	-0.120
00:00:00.014	-0.100	-0.115
00:00:00.016	-0.100	-0.115
00:00:00.018	-0.085	-0.115
00:00:00.020	-0.060	-0.110
00:00:00.022	-0.045	-0.110
00:00:00.024	-0.055	-0.110
00:00:00.026	-0.060	-0.110
00:00:00.028	-0.070	-0.105
00:00:00.030	-0.080	-0.105
00:00:00.032	-0.085	-0.105
00:00:00.034	-0.080	-0.105
00:00:00.036	-0.070	-0.100
00:00:00.038	-0.040	-0.100
00:00:00.040	-0.050	-0.100
00:00:00.042	-0.045	-0.100
00:00:00.044	-0.040	-0.100
00:00:00.046	-0.040	-0.100
00:00:00.048	-0.055	-0.100
00:00:00.050	-0.060	-0.100
00:00:00.052	-0.055	-0.100
00:00:00.054	-0.055	-0.095
00:00:00.056	-0.055	-0.095
00:00:00.058	-0.045	-0.095
00:00:00.060	-0.040	-0.095
00:00:00.062	-0.045	-0.090
00:00:00.064	-0.040	-0.090
00:00:00.066	-0.030	-0.090
00:00:00.068	-0.035	-0.090
00:00:00.070	-0.045	-0.085
00:00:00.072	-0.055	-0.085
00:00:00.074	-0.055	-0.085
00:00:00.076	-0.050	-0.085
00:00:00.078	-0.020	-0.085
00:00:00.080	-0.015	-0.080
00:00:00.082	-0.010	-0.080
00:00:00.084	0.005	-0.075
00:00:00.086	0.000	-0.070
00:00:00.088	-0.005	-0.070
00:00:00.090	-0.025	-0.065
00:00:00.092	-0.035	-0.065
00:00:00.094	-0.030	-0.060
00:00:00.096	-0.030	-0.060
00:00:00.098	-0.015	-0.060
00:00:00.100	-0.005	-0.060
00:00:00.102	0.000	-0.065
00:00:00.104	0.010	-0.065
00:00:00.106	0.020	-0.060
00:00:00.108	0.000	-0.060
00:00:00.110	-0.005	-0.055
00:00:00.112	0.005	-0.050
00:00:00.114	0.005	-0.050
00:00:00.116	0.010	-0.045
00:00:00.118	0.025	-0.040
00:00:00.120	0.040	-0.035
00:00:00.122	0.055	-0.030
00:00:00.124	0.060	-0.025
00:00:00.126	0.045	-0.020
00:00:00.128	0.040	-0.010
00:00:00.130	0.045	-0.005
00:00:00.132	0.040	0.005
00:00:00.134	0.040	0.010
00:00:00.136	0.070	0.020
00:00:00.138	0.075	0.025
00:00:00.140	0.090	0.025
00:00:00.142	0.105	0.030
00:00:00.144	0.105	0.030
